#DDG, density
-5.00000 0.00117
-4.89933 0.00136
-4.79866 0.00160
-4.69799 0.00186
-4.59732 0.00212
-4.49664 0.00236
-4.39597 0.00256
-4.29530 0.00271
-4.19463 0.00282
-4.09396 0.00288
-3.99329 0.00292
-3.89262 0.00296
-3.79195 0.00301
-3.69128 0.00310
-3.59060 0.00324
-3.48993 0.00343
-3.38926 0.00369
-3.28859 0.00402
-3.18792 0.00441
-3.08725 0.00489
-2.98658 0.00544
-2.88591 0.00608
-2.78523 0.00681
-2.68456 0.00763
-2.58389 0.00852
-2.48322 0.00950
-2.38255 0.01057
-2.28188 0.01175
-2.18121 0.01312
-2.08054 0.01476
-1.97987 0.01681
-1.87919 0.01945
-1.77852 0.02291
-1.67785 0.02745
-1.57718 0.03339
-1.47651 0.04111
-1.37584 0.05101
-1.27517 0.06349
-1.17450 0.07894
-1.07383 0.09765
-0.97315 0.11977
-0.87248 0.14524
-0.77181 0.17371
-0.67114 0.20453
-0.57047 0.23670
-0.46980 0.26897
-0.36913 0.29987
-0.26846 0.32785
-0.16779 0.35144
-0.06711 0.36943
0.03356 0.38097
0.13423 0.38568
0.23490 0.38364
0.33557 0.37533
0.43624 0.36151
0.53691 0.34313
0.63758 0.32123
0.73826 0.29688
0.83893 0.27117
0.93960 0.24514
1.04027 0.21976
1.14094 0.19587
1.24161 0.17412
1.34228 0.15492
1.44295 0.13840
1.54362 0.12449
1.64430 0.11290
1.74497 0.10321
1.84564 0.09497
1.94631 0.08776
2.04698 0.08124
2.14765 0.07523
2.24832 0.06965
2.34899 0.06451
2.44966 0.05985
2.55034 0.05572
2.65101 0.05212
2.75168 0.04900
2.85235 0.04629
2.95302 0.04392
3.05369 0.04182
3.15436 0.03994
3.25503 0.03828
3.35570 0.03681
3.45638 0.03551
3.55705 0.03438
3.65772 0.03337
3.75839 0.03246
3.85906 0.03161
3.95973 0.03082
4.06040 0.03007
4.16107 0.02939
4.26174 0.02881
4.36242 0.02835
4.46309 0.02803
4.56376 0.02783
4.66443 0.02772
4.76510 0.02762
4.86577 0.02744
4.96644 0.02712
5.06711 0.02658
5.16779 0.02578
5.26846 0.02470
5.36913 0.02338
5.46980 0.02184
5.57047 0.02014
5.67114 0.01836
5.77181 0.01655
5.87248 0.01481
5.97315 0.01321
6.07383 0.01180
6.17450 0.01065
6.27517 0.00978
6.37584 0.00920
6.47651 0.00889
6.57718 0.00882
6.67785 0.00893
6.77852 0.00917
6.87919 0.00947
6.97987 0.00979
7.08054 0.01007
7.18121 0.01031
7.28188 0.01050
7.38255 0.01066
7.48322 0.01082
7.58389 0.01099
7.68456 0.01116
7.78523 0.01133
7.88591 0.01145
7.98658 0.01149
8.08725 0.01142
8.18792 0.01122
8.28859 0.01089
8.38926 0.01046
8.48993 0.00996
8.59060 0.00942
8.69128 0.00887
8.79195 0.00836
8.89262 0.00789
8.99329 0.00749
9.09396 0.00717
9.19463 0.00694
9.29530 0.00677
9.39597 0.00666
9.49664 0.00656
9.59732 0.00644
9.69799 0.00626
9.79866 0.00601
9.89933 0.00568
10.00000 0.00530
