#DDG, density
-5.00000 0.00000
-4.89933 0.00000
-4.79866 0.00000
-4.69799 0.00000
-4.59732 0.00000
-4.49664 0.00000
-4.39597 0.00000
-4.29530 0.00000
-4.19463 0.00001
-4.09396 0.00004
-3.99329 0.00013
-3.89262 0.00033
-3.79195 0.00069
-3.69128 0.00121
-3.59060 0.00178
-3.48993 0.00217
-3.38926 0.00221
-3.28859 0.00189
-3.18792 0.00140
-3.08725 0.00103
-2.98658 0.00098
-2.88591 0.00134
-2.78523 0.00204
-2.68456 0.00291
-2.58389 0.00377
-2.48322 0.00455
-2.38255 0.00536
-2.28188 0.00637
-2.18121 0.00767
-2.08054 0.00910
-1.97987 0.01042
-1.87919 0.01152
-1.77852 0.01266
-1.67785 0.01416
-1.57718 0.01618
-1.47651 0.01879
-1.37584 0.02238
-1.27517 0.02794
-1.17450 0.03668
-1.07383 0.04949
-0.97315 0.06667
-0.87248 0.08866
-0.77181 0.11766
-0.67114 0.15978
-0.57047 0.22641
-0.46980 0.33263
-0.36913 0.48905
-0.26846 0.68642
-0.16779 0.88270
-0.06711 1.01160
0.03356 1.01885
0.13423 0.90118
0.23490 0.71050
0.33557 0.51784
0.43624 0.37099
0.53691 0.27947
0.63758 0.22760
0.73826 0.19501
0.83893 0.16846
0.93960 0.14317
1.04027 0.11907
1.14094 0.09733
1.24161 0.07896
1.34228 0.06459
1.44295 0.05427
1.54362 0.04728
1.64430 0.04222
1.74497 0.03779
1.84564 0.03332
1.94631 0.02904
2.04698 0.02565
2.14765 0.02374
2.24832 0.02340
2.34899 0.02405
2.44966 0.02477
2.55034 0.02485
2.65101 0.02430
2.75168 0.02371
2.85235 0.02364
2.95302 0.02413
3.05369 0.02463
3.15436 0.02442
3.25503 0.02299
3.35570 0.02023
3.45638 0.01642
3.55705 0.01218
3.65772 0.00836
3.75839 0.00566
3.85906 0.00444
3.95973 0.00453
4.06040 0.00532
4.16107 0.00606
4.26174 0.00614
4.36242 0.00541
4.46309 0.00413
4.56376 0.00275
4.66443 0.00171
4.76510 0.00122
4.86577 0.00126
4.96644 0.00164
5.06711 0.00207
5.16779 0.00224
5.26846 0.00204
5.36913 0.00155
5.46980 0.00098
5.57047 0.00052
5.67114 0.00025
5.77181 0.00016
5.87248 0.00023
5.97315 0.00049
6.07383 0.00093
6.17450 0.00150
6.27517 0.00201
6.37584 0.00224
6.47651 0.00207
6.57718 0.00160
6.67785 0.00103
6.77852 0.00055
6.87919 0.00025
6.97987 0.00011
7.08054 0.00008
7.18121 0.00017
7.28188 0.00041
7.38255 0.00082
7.48322 0.00137
7.58389 0.00191
7.68456 0.00222
7.78523 0.00214
7.88591 0.00172
7.98658 0.00115
8.08725 0.00064
8.18792 0.00030
8.28859 0.00011
8.38926 0.00004
8.48993 0.00001
8.59060 0.00000
8.69128 0.00000
8.79195 0.00000
8.89262 0.00000
8.99329 0.00000
9.09396 0.00000
9.19463 0.00000
9.29530 0.00000
9.39597 0.00000
9.49664 0.00000
9.59732 0.00000
9.69799 0.00000
9.79866 0.00000
9.89933 0.00000
10.00000 0.00000
