#DDG, density
-5.00000 0.00000
-4.89933 0.00000
-4.79866 0.00000
-4.69799 0.00000
-4.59732 0.00000
-4.49664 0.00000
-4.39597 0.00000
-4.29530 0.00000
-4.19463 0.00000
-4.09396 0.00000
-3.99329 0.00001
-3.89262 0.00001
-3.79195 0.00003
-3.69128 0.00004
-3.59060 0.00007
-3.48993 0.00011
-3.38926 0.00018
-3.28859 0.00028
-3.18792 0.00044
-3.08725 0.00066
-2.98658 0.00098
-2.88591 0.00144
-2.78523 0.00207
-2.68456 0.00295
-2.58389 0.00415
-2.48322 0.00574
-2.38255 0.00783
-2.28188 0.01052
-2.18121 0.01395
-2.08054 0.01823
-1.97987 0.02349
-1.87919 0.02988
-1.77852 0.03751
-1.67785 0.04651
-1.57718 0.05700
-1.47651 0.06904
-1.37584 0.08271
-1.27517 0.09801
-1.17450 0.11486
-1.07383 0.13314
-0.97315 0.15260
-0.87248 0.17290
-0.77181 0.19357
-0.67114 0.21406
-0.57047 0.23376
-0.46980 0.25201
-0.36913 0.26819
-0.26846 0.28174
-0.16779 0.29225
-0.06711 0.29946
0.03356 0.30334
0.13423 0.30401
0.23490 0.30180
0.33557 0.29714
0.43624 0.29052
0.53691 0.28246
0.63758 0.27340
0.73826 0.26370
0.83893 0.25363
0.93960 0.24333
1.04027 0.23285
1.14094 0.22220
1.24161 0.21135
1.34228 0.20026
1.44295 0.18892
1.54362 0.17738
1.64430 0.16569
1.74497 0.15399
1.84564 0.14240
1.94631 0.13110
2.04698 0.12024
2.14765 0.11000
2.24832 0.10048
2.34899 0.09180
2.44966 0.08399
2.55034 0.07705
2.65101 0.07096
2.75168 0.06561
2.85235 0.06093
2.95302 0.05678
3.05369 0.05306
3.15436 0.04968
3.25503 0.04656
3.35570 0.04366
3.45638 0.04098
3.55705 0.03852
3.65772 0.03634
3.75839 0.03447
3.85906 0.03295
3.95973 0.03183
4.06040 0.03110
4.16107 0.03077
4.26174 0.03077
4.36242 0.03106
4.46309 0.03154
4.56376 0.03210
4.66443 0.03264
4.76510 0.03304
4.86577 0.03322
4.96644 0.03310
5.06711 0.03263
5.16779 0.03180
5.26846 0.03063
5.36913 0.02916
5.46980 0.02746
5.57047 0.02560
5.67114 0.02367
5.77181 0.02174
5.87248 0.01989
5.97315 0.01818
6.07383 0.01663
6.17450 0.01527
6.27517 0.01411
6.37584 0.01313
6.47651 0.01233
6.57718 0.01168
6.67785 0.01116
6.77852 0.01074
6.87919 0.01041
6.97987 0.01012
7.08054 0.00986
7.18121 0.00961
7.28188 0.00935
7.38255 0.00907
7.48322 0.00876
7.58389 0.00843
7.68456 0.00807
7.78523 0.00769
7.88591 0.00728
7.98658 0.00687
8.08725 0.00644
8.18792 0.00601
8.28859 0.00559
8.38926 0.00518
8.48993 0.00479
8.59060 0.00445
8.69128 0.00415
8.79195 0.00393
8.89262 0.00377
8.99329 0.00368
9.09396 0.00365
9.19463 0.00368
9.29530 0.00373
9.39597 0.00380
9.49664 0.00386
9.59732 0.00389
9.69799 0.00389
9.79866 0.00383
9.89933 0.00373
10.00000 0.00357
